mname,facet,x,y
lnpolicesp_pcap.simple.bootstrap,,,
lnpolicesp_pcap.simple.normal,,,
officers_pcap.controls.aggregation,dd,officers,Aggregation
officers_pcap.controls.bootstrap,dd,officers,Bootstrap
officers_pcap.diff.aggregation,,,
officers_pcap.diff.bootstrap,,,
officers_pcap.diff.normal,dd,officers,First Differences
officers_pcap.divtrend.aggregation,,,
officers_pcap.divtrend.bootstrap,,,
officers_pcap.divtrend.normal,dd,officers,Division X Time
officers_pcap.fes.aggregation,,,
officers_pcap.fes.bootstrap,,,
officers_pcap.fes.normal,dd,officers,FEs Only
officers_pcap.lags.aggregation,,,
officers_pcap.lags.bootstrap,,,
officers_pcap.lags.normal,dd,officers,Lag DV
officers_pcap.newds.aggregation,,,
officers_pcap.newds.bootstrap,,,
officers_pcap.newds.normal,dd,officers,RD X Districts
officers_pcap.regtrend.aggregation,,,
officers_pcap.regtrend.bootstrap,,,
officers_pcap.regtrend.normal,dd,officers,Region X Time
officers_pcap.simple.aggregation,,,
officers_pcap.simple.bootstrap,,,
officers_pcap.simple.normal,dd,officers,Bivariate
welfbenefits.controls.aggregation,,,
welfbenefits.controls.bootstrap,,,
welfbenefits.controls.normal,,,
welfbenefits.diff.aggregation,,,
welfbenefits.diff.bootstrap,,,
welfbenefits.diff.normal,,,
welfbenefits.divtrend.aggregation,,,
welfbenefits.divtrend.bootstrap,,,
welfbenefits.divtrend.normal,,,
welfbenefits.fes.aggregation,,,
welfbenefits.fes.bootstrap,,,
welfbenefits.fes.normal,,,
welfbenefits.lags.aggregation,,,
welfbenefits.lags.bootstrap,,,
welfbenefits.lags.normal,,,
welfbenefits.newds.aggregation,,,
welfbenefits.newds.bootstrap,,,
welfbenefits.newds.normal,,,
welfbenefits.regtrend.aggregation,,,
welfbenefits.regtrend.bootstrap,,,
welfbenefits.regtrend.normal,,,
welfbenefits.simple.aggregation,,,
welfbenefits.simple.bootstrap,,,
welfbenefits.simple.normal,,,
